date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:37	25264/25264	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604adac5-62b0%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/T-1-web-1.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/T-1-web-1.jpg	(from https://www.attaqwa.co.id/)
13:25:37	21398/21398	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604adac5-5396%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/T-2-web-1.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/T-2-web-1.jpg	(from https://www.attaqwa.co.id/)
13:25:37	15875/15875	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604adac5-3e03%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/T-3-web-1.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/T-3-web-1.jpg	(from https://www.attaqwa.co.id/)
13:25:37	17258/17258	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604adac5-436a%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/T-4-web-1.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/T-4-web-1.jpg	(from https://www.attaqwa.co.id/)
13:25:37	18692/18692	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604adac5-4904%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/T-5-web-1.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/T-5-web-1.jpg	(from https://www.attaqwa.co.id/)
13:25:38	18350/18350	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604adac6-47ae%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/T-6-web-1.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/T-6-web-1.jpg	(from https://www.attaqwa.co.id/)
13:25:38	68728/68728	---MCZ	200	added ('OK')	image/jpeg	etag:W/%226166625b-10c78%22	https://attaqwa.co.id/wp-content/uploads/2021/10/WhatsApp-Image-2021-08-26-at-16.31.jpg	D:/Pelatihan%20DIGIMAR/Alquran/attaqwa.co.id/wp-content/uploads/2021/10/WhatsApp-Image-2021-08-26-at-16.31.jpg	(from https://www.attaqwa.co.id/)
13:25:39	64410/64410	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22615d20db-fb9a%22	https://attaqwa.co.id/wp-content/uploads/2021/10/SC2.jpg	D:/Pelatihan%20DIGIMAR/Alquran/attaqwa.co.id/wp-content/uploads/2021/10/SC2.jpg	(from https://www.attaqwa.co.id/)
13:25:39	50641/50641	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22615d20dc-c5d1%22	https://attaqwa.co.id/wp-content/uploads/2021/10/SC3.jpg	D:/Pelatihan%20DIGIMAR/Alquran/attaqwa.co.id/wp-content/uploads/2021/10/SC3.jpg	(from https://www.attaqwa.co.id/)
13:25:39	68170/68170	---MCZ	200	added ('OK')	image/jpeg	etag:W/%226166625b-10a4a%22	https://www.attaqwa.co.id/wp-content/uploads/2021/10/1.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/10/1.jpg	(from https://www.attaqwa.co.id/)
